id,País
1,Africa do Sul
2,Alemanha
3,Argélia
4,Arábia Saudita
5,Argentina
6,Armênia
7,Austrália
8,Áustria
9,Bermudas
10,Bélgica
11,Bolívia
12,Bósnia-Herzegovina
13,Brasil
14,Bulgária
15,Canada
16,Chile
17,China
18,"Coreia do Sul, República"
19,Croácia
20,Cuba
21,Emirados Árabes Unidos
22,Eslovênia
23,Eslováquia
24,Espanha
25,Estados Unidos
26,França
27,Geórgia
28,"Geórgia do Sul e Sandwich do Sul, Ilhas"
29,Grécia
30,Hong Kong
31,Hungria
32,Indonésia
33,Irlanda
34,Israel
35,Itália
36,Japão
37,Iugoslávia
38,Líbano
39,Luxemburgo
40,Macedônia
41,Marrocos
42,México
43,Moldávia
44,Montenegro
45,Noruega
46,Nova Zelândia
47,Países Baixos (Holanda)
48,Panamá
49,Peru
50,Porto Rico
51,Portugal
52,Reino Unido
53,Republica Dominicana
54,Romênia
55,Rússia
56,San Marino
57,Sérvia
58,Síria
59,Suazilândia
60,Suíça
61,"Tcheca, República"
62,Tunísia
63,Turquia
64,Ucrânia
65,Uruguai
66,Não consta na tabela
67,Não declarados
68,Outros
69,Afeganistão
70,África do Sul
71,"Alemanha, República Democrática"
72,Angola
73,Anguilla
74,Antígua e Barbuda
75,Antilhas Holandesas
76,Aruba
77,Bahamas
78,Bangladesh
79,Barbados
80,Barein
81,Belice
82,Benin
83,Cabo Verde
84,Camarões
85,Canadá
86,Catar
87,"Cayman, Ilhas"
88,Chipre
89,Cingapura
90,"Cocos (Keeling), Ilhas"
91,Colômbia
92,Comores
93,Congo
94,"Coreia, Republica Sul"
95,Costa do Marfim
96,Costa Rica
97,Curaçao
98,Dinamarca
99,Dominica
100,El Salvador
101,Emirados Arabes Unidos
102,Equador
103,"Eslovaca, Republica"
104,Estônia
105,Filipinas
106,Finlândia
107,Gana
108,Gibraltar
109,Granada
110,Guatemala
111,Guiana
112,Guiana Francesa
113,Guine Bissau
114,Guine Equatorial
115,Haiti
116,Honduras
117,Ilha de Man
118,Ilhas Virgens
119,India
120,Irã
121,Iraque
122,Jamaica
123,Jordânia
124,Letônia
125,Libéria
126,Macau
127,Malásia
128,Malavi
129,Malta
130,"Marshall, Ilhas"
131,Martinica
132,Mauritânia
133,Moçambique
134,Namíbia
135,Nicarágua
136,Nigéria
137,Nova Caledônia
138,Omã
139,Países Baixos
140,Palau
141,Paraguai
142,Pitcairn
143,Polônia
144,Quênia
145,República Dominicana
146,São Cristóvão e Névis
147,São Tomé e Príncipe
148,São Vicente e Granadinas
149,Senegal
150,Serra Leoa
151,Singapura
152,Suécia
153,Suriname
154,Tailândia
155,Taiwan (Formosa)
156,Tanzânia
157,Togo
158,Toquelau
159,Trinidade Tobago
160,Tuvalu
161,Vanuatu
162,Venezuela
163,Vietnã
